label,precision,recall,f1,partial_precision,partial_recall,partial_f1,tp,fp,fn
email,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8039032589410776,0.745432504978786,0.7735645610566987,18,9,9
salutation,0.7083333333333334,0.6538461538461539,0.68,0.9578947368421052,0.883495145631068,0.9191919191919192,17,7,9
name,0.4117647058823529,0.4,0.40579710144927533,0.8454365965787084,0.7736864317366532,0.8079717380675282,14,20,21
organisation,0.6111111111111112,0.5641025641025641,0.5866666666666667,0.9443535188216039,0.8716012084592145,0.9065200314218382,22,14,17
phone_number,0.8,0.48484848484848486,0.6037735849056605,1.0,0.596551724137931,0.7473002159827213,16,4,17
airport_code,0.0,0.0,0.0,0.0,0.0,0.0,0,0,18
country,1.0,0.15384615384615385,0.2666666666666667,1.0,0.15384615384615385,0.2666666666666667,4,0,22
plate,0.3157894736842105,0.6666666666666666,0.42857142857142855,0.3684210526315789,0.7777777777777778,0.5,6,13,3
id,0.6153846153846154,0.5714285714285714,0.5925925925925927,0.6153846153846154,0.5714285714285714,0.5925925925925927,8,5,6
relationship,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666,9,0,9
date,0.8571428571428571,0.9,0.8780487804878048,0.9523809523809523,1.0,0.975609756097561,18,3,2
