label,precision,recall,f1,partial_precision,partial_recall,partial_f1,tp,fp,fn
email,0.3793103448275862,0.4074074074074074,0.39285714285714285,0.8855856974815702,0.8530519174331942,0.8690144177343151,11,18,16
phone_number,0.5,0.30303030303030304,0.37735849056603776,1.0,0.5901614174437291,0.7422660504396411,10,10,23
organisation,0.11764705882352941,0.25,0.15999999999999998,0.3752679610461199,0.8572827759899259,0.5220243673851921,2,15,6
plate,0.5384615384615384,0.4666666666666667,0.5,0.5945945945945946,0.5116279069767442,0.55,7,6,8
country,0.0,0.0,0.0,0.0,0.0,0.0,0,0,20
name,0.0,0.0,0.0,0.23753853122379603,0.9137367148641561,0.37705610002754586,0,48,12
airport_code,0.0,0.0,0.0,0.0,0.0,0.0,0,0,15
date,0.7619047619047619,0.8421052631578947,0.8,0.9006622516556292,0.9006622516556292,0.9006622516556292,16,5,3
salutation,0.7857142857142857,0.4074074074074074,0.5365853658536585,0.9285714285714286,0.48148148148148145,0.6341463414634146,11,3,16
relationship,0.0,0.0,0.0,0.0,0.0,0.0,0,0,11
id,0.0,0.0,0.0,0.4857142857142857,0.19101123595505617,0.27419354838709675,0,4,10
