label,precision,recall,f1,partial_precision,partial_recall,partial_f1,tp,fp,fn
name,0.015873015873015872,0.08333333333333333,0.02666666666666667,0.21904258276215077,1.0,0.35936822201212393,1,62,11
organisation,0.3,0.75,0.4285714285714285,0.40950639853747717,1.0,0.5810635538261998,6,14,2
email,0.6875,0.6285714285714286,0.6567164179104478,0.8746062235881675,1.0,0.9331092712517419,22,10,13
relationship,0.09090909090909091,0.041666666666666664,0.05714285714285715,0.85233798195242,0.26511865271753,0.4044375243285325,1,10,23
salutation,0.8611111111111112,1.0,0.9253731343283582,0.8611111111111112,1.0,0.9253731343283582,31,5,0
id,0.6428571428571429,0.5,0.5625000000000001,0.6428571428571429,0.5625,0.6000000000000001,9,5,9
phone_number,0.36363636363636365,0.19047619047619047,0.25,1.0,0.5943216742280111,0.7455480080778409,8,14,34
date,0.75,0.3409090909090909,0.46875,1.0,0.46373056994818657,0.6336283185840708,15,5,29
country,0.29545454545454547,0.23214285714285715,0.26,1.0,0.7243107769423559,0.8401162790697675,13,31,43
airport_code,0.0,0.0,0.0,0.0,0.0,0.0,0,0,22
plate,0.5294117647058824,0.391304347826087,0.45,0.7058823529411765,0.75,0.7272727272727272,9,8,14
