label,precision,recall,f1,partial_precision,partial_recall,partial_f1,tp,fp,fn
email,0.8928571428571429,0.78125,0.8333333333333334,0.9639344262295082,1.0,0.9816360601001669,25,3,7
name,0.20512820512820512,0.23529411764705882,0.2191780821917808,0.4760429644095761,0.8961713995943205,0.6217921935129191,8,31,26
organisation,0.6595744680851063,0.8857142857142857,0.7560975609756098,0.7214534416569949,1.0,0.838191059018774,31,16,4
date,0.8666666666666667,0.8666666666666667,0.8666666666666667,1.0,1.0,1.0,39,6,6
relationship,0.8666666666666667,0.5777777777777777,0.6933333333333332,0.9322033898305084,0.6043956043956044,0.7333333333333333,26,4,19
country,0.6052631578947368,0.5609756097560976,0.5822784810126583,0.8611111111111112,0.8857142857142857,0.8732394366197184,23,15,18
phone_number,0.13333333333333333,0.06451612903225806,0.08695652173913043,1.0,0.8767238427295085,0.9343131075208175,2,13,29
salutation,0.0,0.0,0.0,0.0,0.0,0.0,0,2,22
airport_code,0.0,0.0,0.0,0.0,0.0,0.0,0,4,16
id,0.0,0.0,0.0,0.0,0.0,0.0,0,0,18
plate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,22
